                                            Anime,                 Video Number
12-sai.: Chicchana Mune no Tokimeki Episode 10,90399
12-sai.: Chicchana Mune no Tokimeki Episode 11,90453
12-sai.: Chicchana Mune no Tokimeki Episode 7,90093
12-sai.: Chicchana Mune no Tokimeki Episode 8,90184
12-sai.: Chicchana Mune no Tokimeki Episode 9,90240
Aggressive Retsuko Episode 11,90388
Aggressive Retsuko Episode 12,90454
Aggressive Retsuko Episode 13,90507
Aggressive Retsuko Episode 6,90047
Aggressive Retsuko Episode 7,90082
Aggressive Retsuko Episode 8,90210
Aggressive Retsuko Episode 9,90229
Aikatsu Stars! Episode 10,90309
Aikatsu Stars! Episode 11,90359
Aikatsu Stars! Episode 12,90414
Aikatsu Stars! Episode 6,90015
Aikatsu Stars! Episode 7,90074
Aikatsu Stars! Episode 8,90163
Aikatsu Stars! Episode 9,90237
Ajin OVA Episode 1,90188
Amaama to Inazuma Episode 1,90514
Anne Happy? Episode 10,90265
Anne Happy? Episode 11,90329
Anne Happy? Episode 12,90401
Anne Happy? Episode 7,90058
Anne Happy? Episode 8,90134
Anne Happy? Episode 9,90199
Ansatsu Kyoushitsu (TV) 2nd Season Episode 19,90060
Ansatsu Kyoushitsu (TV) 2nd Season Episode 20,90136
Ansatsu Kyoushitsu (TV) 2nd Season Episode 21,90201
Ansatsu Kyoushitsu (TV) 2nd Season Episode 22,90267
Ansatsu Kyoushitsu (TV) 2nd Season Episode 23,90330
Ansatsu Kyoushitsu (TV) 2nd Season Episode 24,90404
Ansatsu Kyoushitsu (TV) 2nd Season Episode 25,90456
Arslan Senki (TV) OVA Episode 1,90450
Arslan Senki (TV): Fuujin Ranbu Episode 1,90499
B-Project: Kodou*Ambitious Episode 1,90487
Bakuon!! Episode 10,90244
Bakuon!! Episode 11,90313
Bakuon!! Episode 12,90381
Bakuon!! Episode 7,90033
Bakuon!! Episode 8,90113
Bakuon!! Episode 9,90178
Bananya Episode 1,90511
Berserk (2016) Episode 1,90464
Beyblade Burst Episode 10,90308
Beyblade Burst Episode 7,90050
Beyblade Burst Episode 8,90137
Beyblade Burst Episode 9,90195
Big Order (TV) Episode 10,90342
Big Order (TV) Episode 6,90072
Big Order (TV) Episode 7,90146
Big Order (TV) Episode 8,90211
Big Order (TV) Episode 9,90276
Bishoujo Yuugi Unit Crane Game Girls Episode 10,90257
Bishoujo Yuugi Unit Crane Game Girls Episode 11,90323
Bishoujo Yuugi Unit Crane Game Girls Episode 12,90392
Bishoujo Yuugi Unit Crane Game Girls Episode 13,90449
Bishoujo Yuugi Unit Crane Game Girls Episode 7,90051
Bishoujo Yuugi Unit Crane Game Girls Episode 8,90127
Bishoujo Yuugi Unit Crane Game Girls Episode 9,90192
Boku no Hero Academia Episode 10,90230
Boku no Hero Academia Episode 11,90299
Boku no Hero Academia Episode 12,90362
Boku no Hero Academia Episode 13,90431
Boku no Hero Academia Episode 7,90019
Boku no Hero Academia Episode 8,90095
Boku no Hero Academia Episode 9,90165
Brotherhood: Final Fantasy XV Episode 2,90321
Bungou Stray Dogs Episode 10,90260
Bungou Stray Dogs Episode 11,90324
Bungou Stray Dogs Episode 12,90394
Bungou Stray Dogs Episode 7,90053
Bungou Stray Dogs Episode 8,90129
Bungou Stray Dogs Episode 9,90196
Cardfight!! Vanguard G: Stride Gate-hen Episode 10,90360
Cardfight!! Vanguard G: Stride Gate-hen Episode 11,90426
Cardfight!! Vanguard G: Stride Gate-hen Episode 12,90496
Cardfight!! Vanguard G: Stride Gate-hen Episode 5,90014
Cardfight!! Vanguard G: Stride Gate-hen Episode 6,90091
Cardfight!! Vanguard G: Stride Gate-hen Episode 7,90160
Cardfight!! Vanguard G: Stride Gate-hen Episode 8,90226
Cardfight!! Vanguard G: Stride Gate-hen Episode 9,90295
Chu Feng: B.E.E Episode 6,90119
Cobra The Animation Episode 1,90252
Concrete Revolutio: Choujin Gensou – The Last Song Episode 10,90270
Concrete Revolutio: Choujin Gensou – The Last Song Episode 11,90334
Concrete Revolutio: Choujin Gensou – The Last Song Episode 7,90066
Concrete Revolutio: Choujin Gensou – The Last Song Episode 8,90140
Concrete Revolutio: Choujin Gensou – The Last Song Episode 9,90204
D.Gray-man Hallow Episode 1,90515
Days (TV) Episode 1,90494
Detective Conan Episode 817,90055
Detective Conan Episode 818,90128
Detective Conan Episode 819,90194
Detective Conan Episode 820,90259
Detective Conan Episode 821,90326
Detective Conan Episode 822,90396
Detective Conan Episode 823,90452
Dragon Ball Super Episode 43,90020
Dragon Ball Super Episode 44,90094
Dragon Ball Super Episode 45,90166
Dragon Ball Super Episode 46,90231
Dragon Ball Super Episode 47,90297
Dragon Ball Super Episode 48,90361
Dragon Ball Super Episode 49,90432
Dragon Ball Super Episode 50,90497
Endride Episode 10,90223
Endride Episode 11,90290
Endride Episode 12,90423
Endride Episode 13,90491
Endride Episode 7,90009
Endride Episode 8,90167
Endride Episode 9,90157
Fairy Tail OVA (2016) Episode 1,90109
Flying Witch Episode 10,90291
Flying Witch Episode 11,90424
Flying Witch Episode 12,90427
Flying Witch Episode 6,90012
Flying Witch Episode 7,90089
Flying Witch Episode 8,90156
Flying Witch Episode 9,90224
Flying Witch Petit Episode 5,90040
Flying Witch Petit Episode 6,90288
Flying Witch Petit Episode 7,90405
Fukigen na Mononokean Episode 1,90498
Futsuu no Joshikousei ga [Locodol] Yatte Mita. OVA Episode 2,90398
Future Card Buddyfight DDD Episode 10,90213
Future Card Buddyfight DDD Episode 11,90278
Future Card Buddyfight DDD Episode 12,90345
Future Card Buddyfight DDD Episode 13,90411
Future Card Buddyfight DDD Episode 14,90479
Future Card Buddyfight DDD Episode 8,90075
Future Card Buddyfight DDD Episode 9,90147
Gakusen Toshi Asterisk 2nd Season Episode 10,90219
Gakusen Toshi Asterisk 2nd Season Episode 11,90285
Gakusen Toshi Asterisk 2nd Season Episode 12,90354
Gakusen Toshi Asterisk 2nd Season Episode 7,90004
Gakusen Toshi Asterisk 2nd Season Episode 8,90084
Gakusen Toshi Asterisk 2nd Season Episode 9,90153
Girls und Panzer der Film,90158
"Gyakuten Saiban: Sono “Shinjitsu”, Igi Ari! Episode 10",90217
"Gyakuten Saiban: Sono “Shinjitsu”, Igi Ari! Episode 11",90282
"Gyakuten Saiban: Sono “Shinjitsu”, Igi Ari! Episode 12",90351
"Gyakuten Saiban: Sono “Shinjitsu”, Igi Ari! Episode 13",90415
"Gyakuten Saiban: Sono “Shinjitsu”, Igi Ari! Episode 7",90001
"Gyakuten Saiban: Sono “Shinjitsu”, Igi Ari! Episode 8",90079
"Gyakuten Saiban: Sono “Shinjitsu”, Igi Ari! Episode 9",90151
Haifuri Episode 10,90289
